hour_bin_label,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0-1,2832,2137,2411,2985,4492,9026,10229
2-3,989,703,685,815,1324,3557,4133
4-5,3842,4460,4448,4061,3672,1960,2233
6-7,24123,30801,29842,27890,22299,8244,6523
8-9,28722,35097,35129,34411,26805,21647,16907
10-11,21423,21408,21291,22180,22680,33641,31497
12-13,27427,28231,27849,28387,30285,38156,36961
14-15,30019,30494,30102,31029,33140,37465,37485
16-17,56231,63128,61452,59760,48459,36573,36653
18-19,42589,47239,47953,47139,38256,31025,28673
20-21,20169,22775,24130,25161,20175,19288,16002
22-23,8430,10132,11548,14137,14100,15765,8791
